@RELATION 'cellcycle0.names'

@ATTRIBUTE cln3-1                                  numeric
@ATTRIBUTE cln3-2                                  numeric
@ATTRIBUTE clb2-2                                  numeric
@ATTRIBUTE clb2-1                                  numeric
@ATTRIBUTE alpha0                                  numeric
@ATTRIBUTE alpha7                                  numeric
@ATTRIBUTE alpha14                                 numeric
@ATTRIBUTE alpha21                                 numeric
@ATTRIBUTE alpha28                                 numeric
@ATTRIBUTE alpha35                                 numeric
@ATTRIBUTE alpha42                                 numeric
@ATTRIBUTE alpha49                                 numeric
@ATTRIBUTE alpha56                                 numeric
@ATTRIBUTE alpha63                                 numeric
@ATTRIBUTE alpha70                                 numeric
@ATTRIBUTE alpha77                                 numeric
@ATTRIBUTE alpha84                                 numeric
@ATTRIBUTE alpha91                                 numeric
@ATTRIBUTE alpha98                                 numeric
@ATTRIBUTE alpha105                                numeric
@ATTRIBUTE alpha112                                numeric
@ATTRIBUTE alpha119                                numeric
@ATTRIBUTE cdc15_10                                numeric
@ATTRIBUTE cdc15_30                                numeric
@ATTRIBUTE cdc15_50                                numeric
@ATTRIBUTE cdc15_70                                numeric
@ATTRIBUTE cdc15_80                                numeric
@ATTRIBUTE cdc15_90                                numeric
@ATTRIBUTE cdc15_100                               numeric
@ATTRIBUTE cdc15_110                               numeric
@ATTRIBUTE cdc15_120                               numeric
@ATTRIBUTE cdc15_130                               numeric
@ATTRIBUTE cdc15_140                               numeric
@ATTRIBUTE cdc15_150                               numeric
@ATTRIBUTE cdc15_160                               numeric
@ATTRIBUTE cdc15_170                               numeric
@ATTRIBUTE cdc15_180                               numeric
@ATTRIBUTE cdc15_190                               numeric
@ATTRIBUTE cdc15_200                               numeric
@ATTRIBUTE cdc15_210                               numeric
@ATTRIBUTE cdc15_220                               numeric
@ATTRIBUTE cdc15_230                               numeric
@ATTRIBUTE cdc15_240                               numeric
@ATTRIBUTE cdc15_250                               numeric
@ATTRIBUTE cdc15_270                               numeric
@ATTRIBUTE cdc15_290                               numeric
@ATTRIBUTE cdc28_0                                 numeric
@ATTRIBUTE cdc28_10                                numeric
@ATTRIBUTE cdc28_20                                numeric
@ATTRIBUTE cdc28_30                                numeric
@ATTRIBUTE cdc28_40                                numeric
@ATTRIBUTE cdc28_50                                numeric
@ATTRIBUTE cdc28_60                                numeric
@ATTRIBUTE cdc28_70                                numeric
@ATTRIBUTE cdc28_80                                numeric
@ATTRIBUTE cdc28_90                                numeric
@ATTRIBUTE cdc28_100                               numeric
@ATTRIBUTE cdc28_110                               numeric
@ATTRIBUTE cdc28_120                               numeric
@ATTRIBUTE cdc28_130                               numeric
@ATTRIBUTE cdc28_140                               numeric
@ATTRIBUTE cdc28_150                               numeric
@ATTRIBUTE cdc28_160                               numeric
@ATTRIBUTE elu0                                    numeric
@ATTRIBUTE elu30                                   numeric
@ATTRIBUTE elu60                                   numeric
@ATTRIBUTE elu90                                   numeric
@ATTRIBUTE elu120                                  numeric
@ATTRIBUTE elu150                                  numeric
@ATTRIBUTE elu180                                  numeric
@ATTRIBUTE elu210                                  numeric
@ATTRIBUTE elu240                                  numeric
@ATTRIBUTE elu270                                  numeric
@ATTRIBUTE elu300                                  numeric
@ATTRIBUTE elu330                                  numeric
@ATTRIBUTE elu360                                  numeric
@ATTRIBUTE elu390                                  numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
0.84,0.26,-0.84,-0.3,-0.61,-0.1,0.66,0.97,0.21,-0.17,-0.38,-0.44,-0.59,-0.23,0.61,0.68,0.41,-0.33,-0.35,0.42,-0.38,-0.38,0.27,1.25,0.84,-0.26,-0.22,-0.44,-0.26,-0.17,0.27,0.81,0.64,0.68,0.38,0.52,-0.01,-4.63,-0.19,-0.54,0.21,0.38,0.21,0.16,0.11,-0.01,-0.6,0.19,0.84,0.21,-0.39,-1.04,-1.43,-1.64,-0.26,0.82,1.31,1.23,0.55,0.39,-0.2,?,?,-0.45,-0.47,-0.01,0.03,0.43,0.62,0.37,0.3,-0.35,-0.03,0.08,-0.01,-0.4,-0.13,01/04@10/01/05/01@10/03/02@16/03/01@16/19/03
-0.2,-0.04,0.23,0.4,0.21,-0.42,-0.21,-0.35,0.13,-0.04,0.38,-0.17,0.27,-0.11,0.32,-0.38,0.35,-0.21,0.6,-0.38,0.25,-0.27,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.28,?,0.28,-0.53,0.11,0.41,-0.14,0.16,-0.5,-0.06,-0.23,-0.39,0.7,0.27,?,-0.44,0.06,-0.04,0.62,-0.02,-0.86,0.07,0.09,0.01,0.3,0.31,0.18,0.23,0.02,0.02,0.12,0.01,-0.19,-0.31,12/01/01
1.04,0.83,-1,-0.06,-0.75,2.01,0.06,0.86,0.5,-0.3,-0.35,-0.33,-0.22,-0.77,0.15,0.6,0.59,-0.04,0.07,-0.66,-0.82,-0.6,-0.53,-0.19,-0.29,0.79,-0.32,0.23,-0.23,0.38,0.77,0.42,-0.15,0.47,-0.27,0.42,-0.36,-0.19,-0.29,0.09,-0.13,-0.91,-0.27,0.02,0.38,0.19,-0.55,0.04,1.49,1.14,0.17,-0.31,-0.95,-1.48,-0.74,0.18,1.14,0.81,0.57,0.14,?,-1.11,-0.54,-0.21,-0.52,0.21,0.19,0.52,0.27,0.49,0.06,0.11,0.42,-0.29,-0.21,-0.92,-0.11,10/01/03/03@10/01/03/05@10/01/05/01@32/01/09
0.53,0.75,-0.36,-0.38,0.62,0.23,0.29,0.27,0.18,-0.07,0.11,-0.27,-0.24,-0.61,-0.01,-0.22,0.04,-0.01,0.23,-0.01,-0.25,-0.25,-0.45,-0.55,-0.35,-0.11,0.18,-0.33,-0.01,-0.45,-0.03,-0.31,0.04,0.02,0.44,0.04,0.26,-0.12,0.8,-0.27,0.74,-0.35,0.56,-0.08,0.07,0.25,-0.96,-0.31,-0.3,-0.24,-0.14,-0.47,-0.18,-0.26,-0.06,0.8,0.38,?,0.04,0.41,0.3,0.56,0.44,-0.74,-0.25,-0.12,-0.12,-0.31,-0.36,-0.14,0.19,0.44,0.19,-0.21,0.52,0.5,0.4,01/01/11/04/01
-0.04,-0.49,-0.32,-0.34,0.01,-0.68,-0.78,-0.51,0.12,-0.02,0.04,0.13,0.43,0.2,0.64,0.03,0.01,0.22,0.38,0.3,-0.42,-0.09,1.24,1.2,0.77,0.4,-0.01,0.31,0.05,0.4,-0.01,0.21,-0.47,-0.05,-1.29,-0.15,-0.41,0.23,0.18,-0.05,-0.05,-0.7,-0.34,-0.34,-0.61,-0.55,-0.73,0.48,0.14,-0.02,0.1,0.01,0.23,0.22,0.13,-0.03,-0.28,0.02,-0.12,-0.14,?,0.2,-0.21,-1.54,-0.37,-0.13,0.38,0.77,0.67,0.46,0.12,-0.06,0.32,-0.04,-0.11,-0.41,-0.06,30/01
-0.56,-0.69,0.03,-0.14,0.03,0.79,1.1,0.88,0.35,0.29,-0.21,-0.14,-0.21,-0.3,-0.03,0,-0.08,-0.08,-0.23,-0.24,-1.43,-0.51,-0.08,-1.29,-1.29,-0.71,-0.55,-0.13,-0.28,0.58,0.18,0.37,-0.12,-0.06,-0.69,-0.02,-0.2,-0.06,0.31,0.47,0.21,0.04,0.8,0.83,0.65,1.06,0.92,0.56,0.16,-0.34,-1.01,-1.21,-0.68,-0.68,-0.13,0.57,0.38,0.4,0.21,0.08,?,0.38,0.38,0.75,0.3,0.58,0.43,-0.2,-0.61,-0.29,-0.14,0.02,-0.35,-0.54,0.1,0.07,-0.12,01/05@02/01
0.19,-0.09,-0.07,0.01,0.05,-0.14,0.35,0.15,0.24,-0.09,0.2,0.06,-0.09,-0.09,-0.01,0.02,0.13,-0.23,-0.18,-0.27,-0.01,-0.06,-0.13,-0.43,-0.43,-0.41,-0.75,-0.07,-0.01,0.05,-0.43,0.45,0.24,0.41,-0.16,0.53,0.47,0.22,-1.21,0.23,-0.45,0.18,0.01,0.65,0.47,0.58,-0.15,-0.14,-0.38,-0.46,-0.35,-0.31,-0.02,0.01,0.03,0.06,0.48,0.59,0.25,?,-0.03,0.16,0.27,-0.06,-0.5,-0.46,0.17,0.19,0.16,0.08,0.06,0.16,0.07,0.15,0.26,-0.2,-0.09,12/01/01@42/16
0.04,0.86,-0.04,0.03,0.02,-0.36,0.32,0.34,0.51,0.18,0.28,-0.02,-0.14,-0.24,-0.06,-0.04,-0.05,-0.31,0.12,-0.28,0.09,-0.36,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.28,?,0.28,-0.36,-0.46,-0.35,-0.2,0,-0.42,-0.22,-0.37,-0.01,0.33,0.45,0.63,0.64,?,0.42,-0.16,0.08,0.27,-0.46,-0.04,-0.1,-0.24,-0.3,0.01,0.18,0.26,0.1,-0.14,0.26,0.15,0.04,01/03/10@16/01@30/01/05/05/01@40/01@42/04@43/01/03/05
-0.12,-0.92,0.34,0.32,-0.26,-0.3,0.08,-0.06,0.43,0.46,0.35,0.06,0.01,0.05,-0.04,-0.42,0.01,-0.3,0.15,-0.2,0.3,-0.32,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.28,?,0.28,-0.51,-0.81,-1.55,-1.2,-1.32,-0.82,-0.39,-0.38,0.23,0.08,0.43,0.78,1.3,?,1.35,1.6,1.21,-0.15,-0.1,-0.1,-0.1,0.29,-0.13,-0.08,0,0.12,0.03,-0.49,0.11,0.34,0.27,20/01/01/01@20/01/01/07@20/09/18@43/01/03/05
-2.4,-2.32,1.43,2.56,2.06,1.36,0.59,-0.8,-0.76,-1.8,-1.03,-1.3,0.12,0.87,1.17,0.34,0.44,-0.76,-0.36,-0.98,0.33,0.49,-0.74,-0.08,-0.49,-0.48,-0.58,-0.15,0.53,0.02,-0.17,0.02,-0.3,-0.43,-0.27,-0.34,0.54,-0.32,?,0.06,0.58,0.12,0.67,0.62,0.26,0.94,0.22,0.41,0.04,-0.16,-0.12,-0.21,-0.3,-0.45,0.25,0.41,0.25,0,-0.3,-0.16,-0.4,0.25,0.28,-0.88,-0.41,-0.02,0.46,0.44,0.22,-0.09,-0.48,0.02,0.28,0.07,0.4,-0.05,0.05,30/05@34/11/03/07
-0.29,-1.15,-0.45,0.04,0.03,-0.37,0.14,0.03,0.31,-0.19,0.21,-0.03,0.12,0.06,0.34,-0.03,-0.08,-0.21,-0.08,-0.21,0.09,-0.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.28,?,0.28,-0.23,0.1,-0.9,-0.5,0.35,-1.04,-0.25,-0.48,0.19,0.05,0.21,0.69,0.3,0.08,0.38,0.75,0.32,-0.49,-0.05,0.12,0.03,0.19,-0.26,-0.02,-0.03,0.12,0.03,-0.16,0.08,0.39,0.05,14/01@16/01
-2.32,-2.74,3.53,2.26,-1.3,-0.06,0.6,0.5,0.21,-0.23,-0.91,-0.57,0.79,0.21,1.12,0.29,0.16,-0.55,-0.19,-0.34,0.12,0.16,-0.47,-1.41,-2.08,-1.62,-1.57,-0.74,1.19,1.11,2.52,0.81,0.67,-0.59,-0.47,-1.08,-0.6,-1.25,0.48,0.52,2.48,1.07,1.58,0.57,-0.54,-0.56,0.47,0.28,-1.43,-1.39,-1.71,-1.95,0.08,0.66,0.85,1.27,0.71,0.11,?,-0.6,0.36,1.11,1.18,1.68,0.63,1.05,1.03,-0.23,-1.03,-0.82,-0.77,-0.46,-0.5,-0.52,0.05,-0.2,0.08,32/01@34/11/12
-0.43,-0.84,0.33,0.1,0.11,-0.3,0,-0.05,0.23,-0.35,0.06,0.1,0.02,0.06,0.19,-0.28,-0.04,-0.26,0.36,-0.07,0.41,-0.19,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.28,?,0.28,-0.16,0.06,0.49,-0.12,0.5,-0.5,-0.16,-0.2,-0.42,-1.76,0.69,0.56,-0.35,0.24,0.02,0.65,0.47,-0.66,-0.29,0.23,0.36,0.43,0.11,0.25,0.32,0.15,0.01,-0.18,-0.15,-0.25,-0.31,12/01/01
0.36,-0.12,-0.69,-0.29,-0.08,-0.22,0.09,0.11,0.22,-0.01,0.11,-0.06,-0.08,0.06,-0.22,-0.04,0.17,-0.18,0.08,-0.14,0.25,-0.06,0,-0.1,0.14,0.24,0.1,0.07,-0.06,0.2,0,-0.18,-0.13,0.03,0.44,0.05,-0.11,0.13,0.02,-0.08,0.14,-0.15,0.05,-0.03,-0.44,-0.32,-0.18,-0.25,-0.29,0.13,0.12,0.15,0.15,0.17,-0.03,0.13,0.01,-0.19,-0.08,?,-0.03,0.11,0.08,0.39,-0.53,-0.39,-0.39,-0.05,-0.14,0.15,0.02,0.28,0.25,-0.05,0.12,0.42,-0.07,11/02/03/01@11/02/03/04
-0.58,-0.25,-0.15,0.28,-0.18,0.75,0.09,-0.12,-0.1,-0.04,-0.43,-0.41,-0.14,0.14,0.07,0.31,0.22,0.91,-0.71,-0.2,-0.18,0.03,-0.68,0.03,-0.58,?,-0.43,-1.18,0.36,-0.26,0.15,0.66,0.18,?,0.12,?,0.42,-0.16,-0.48,-0.22,-0.05,0.66,0.35,0.17,0.74,0.19,1.22,0.09,-1.93,-1.16,-0.3,-0.47,-0.76,-1.09,0.1,0.7,1.12,1,0.42,0.13,0,0.28,0.64,0.24,0.29,-0.21,-0.1,-0.71,-0.91,-0.32,-0.15,0.13,-0.12,0.21,0.45,0.75,0.45,30/01/05/05@30/05@34/11/03/07
-0.58,-0.25,-0.45,-0.32,0.36,-0.56,-1.09,-0.53,-0.3,0.08,0.28,0.27,0.43,0.06,-0.09,0.17,0.43,-0.05,0.12,0.19,0.01,0.22,1.07,1.19,0.74,?,-0.27,-0.77,0.23,-0.72,-0.2,-0.39,0.24,0.25,0.09,?,0.14,-0.56,-0.16,-0.22,0.13,0.76,0.29,-0.8,-0.33,-0.7,-0.56,0.05,0.36,0.04,0.22,-0.26,-0.02,-0.08,-0.27,0.39,-0.01,-0.07,?,0.09,-0.03,0.28,-0.13,-1.7,-0.14,-0.1,0.41,0.82,0.56,0.17,0.1,0.02,0.51,0.36,-0.33,-0.7,0.03,11@16/03/03
-0.29,-1.4,-0.17,-0.27,0.44,0.31,-0.02,-0.46,0.2,-0.01,0.18,-0.02,-0.06,-0.08,-0.43,-0.65,-0.02,-0.09,-0.22,-0.22,0.22,0.96,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.28,?,0.28,0.29,1.46,-0.34,-0.28,0.06,-0.19,-0.13,0.48,0.08,0.13,-0.63,-0.22,-0.38,-0.1,-0.16,0.26,-0.34,0.22,-0.23,-0.33,0.15,0.44,0.54,0.32,0.17,-0.1,-0.25,-0.02,-0.57,-0.4,0.04,10/01/05@10/03/02@11/04/03/01/10
0.37,0.58,0.33,0.07,-0.63,-0.37,-0.46,-0.35,0.32,0.04,0.36,0.04,-0.01,-0.02,-0.02,-0.2,0.01,-0.15,0.29,0.28,0.12,0.74,-0.16,0.11,0.36,0.4,0.29,0.25,-0.42,-0.31,-0.33,-0.16,-0.68,0.2,-0.2,-0.03,0.52,0.25,0.38,0.17,0.31,-0.2,?,-0.33,-0.29,-0.1,-0.51,-0.09,0.38,0.59,0.53,0.28,0.43,0.15,0.11,-1.16,-0.19,-0.46,0.45,?,-0.02,-0.3,-0.21,-0.29,-0.43,-0.57,-0.27,0.01,-0.07,0.01,0.35,0.45,0.75,-0.29,0.32,?,0.04,01/02/07@01/05/25@10/01/09/05@10/03/01@11/02/01@11/02/02@11/02/03/04@12/07@16/03/01@32/01/09@42/10/03
0.04,-0.64,-0.14,0.36,-0.02,-0.02,0.37,0.05,0.2,-0.03,0.07,-0.02,0.13,-0.16,0.05,-0.22,-0.11,-0.39,0.17,-0.46,0.41,-0.03,0.33,0.42,0.33,-0.18,-0.31,-0.04,-0.31,0.21,-0.11,0.04,-0.22,-0.12,0.03,-0.29,0.01,-0.2,-0.2,0.24,-0.63,-0.38,0.28,0.43,0.28,0.38,0.12,0.17,-0.16,0.27,0.1,0.11,0.28,0.26,0.24,-0.06,-0.13,-0.29,-0.14,?,-0.17,-0.5,-0.11,0.13,-0.04,-0.22,0.1,0.37,0.47,0.07,0.01,-0.24,-0.33,-0.06,-0.2,0.01,-0.08,01/04@11/02/03/01/01@11/02/03/01/07@11/02/03/04@11/04/01@14/07/03@18/01/01@18/02/01@30/01/05/01
0.3,0.38,-0.84,-0.22,-0.4,?,-0.03,0.56,-0.01,0.17,-0.15,-0.08,-0.11,0.19,0.05,0.73,0.26,-0.38,-0.56,0.14,-0.35,-0.04,0.26,0.75,0.84,0,-0.28,-0.26,-0.22,-0.43,-0.74,-0.02,0.03,0.08,0.29,-0.07,0.28,-0.49,-0.08,-0.51,0,0.47,0.5,0.11,-0.21,-0.3,-1.22,-0.11,0.29,0.04,-0.11,-0.31,-0.17,-0.43,-0.15,0.05,0.44,0.76,0.27,0.43,0.21,?,?,0.06,-0.77,0.59,0.08,0.29,0.08,0.16,0.17,-0.04,-0.33,0.38,-0.2,-0.33,-0.13,10/03/01@10/03/03@42/04/05@43/01/03/09
-0.12,?,?,0.26,0.11,-0.16,-0.06,0.22,0.06,-0.09,-0.01,0.02,0.03,-0.15,-0.08,0.11,0.26,-0.04,-0.15,-0.06,0,-0.01,0.77,0.78,0.55,0.04,-0.86,0.37,-0.12,0.44,-0.47,0.59,0.04,0.27,-0.53,-0.12,-0.45,0.3,-0.73,0.35,-0.73,-0.47,-0.16,-0.07,0.05,0.14,-0.24,0.14,-0.03,-0.08,0.09,-0.07,-0.13,0,0.22,0.1,-0.04,-0.36,-0.14,0.15,?,0.26,0.12,-0.36,-0.21,0.07,0.25,0.41,0.18,0.07,0.08,0.01,-0.24,0.1,-0.15,-0.12,-0.07,01/03/16/01@11/04/01
0.99,0.89,-0.89,-0.56,-0.37,-0.41,0.8,0.91,0.25,-0.03,-0.2,-0.33,-0.52,0.01,0.08,0.64,0.22,-0.18,-0.43,-0.45,-0.37,0.35,0.41,0.88,0.77,-0.39,-0.91,-0.35,-0.44,-0.18,-0.56,0.55,0.59,0.37,0.15,0.29,-0.14,-0.37,?,-0.46,?,-0.3,0.12,0.24,-0.01,-0.24,-0.24,0.41,1.19,0.45,-0.22,-0.27,-0.53,-0.54,-0.27,-0.08,0.66,0.57,-0.01,-0.33,?,-0.26,-0.53,-1.01,-0.52,-0.36,-0.12,0.44,0.69,0.21,0.49,0.15,0.28,0.06,0.15,-0.5,0.02,10/03/03@14/10@16/01@40/01@42/04@43/01/03/05
0.45,-0.62,-0.34,-0.22,-0.07,-0.2,0.01,-0.4,0.22,-0.11,0.06,-0.01,0.07,-0.01,0.18,-0.02,-0.01,-0.49,-0.02,0.04,0.04,0.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.28,?,0.28,-0.37,0.07,-0.6,-0.57,0.08,-0.01,-0.03,0.11,0.37,0.28,0.04,0.23,-0.11,?,0.06,0.32,0.13,-0.08,0.09,-0.38,0.06,0.05,-0.13,0.14,-0.15,0.17,0.11,-0.19,0.48,?,-0.19,01/01/13@01/05/25@11/02/03/01@11/02/03/04/03@34/11/03/07@43/01/03/09
0.44,0.65,-0.56,-0.04,-0.25,-0.4,0.22,-0.2,0.18,-0.21,0.34,-0.16,-0.01,0.07,-0.07,0.23,0.05,-0.1,-0.04,0.18,0.1,0.07,-0.22,-0.18,0.16,-0.66,-0.14,0.29,-0.16,0.16,-0.31,0.21,0,-0.29,-0.04,0.38,0.04,0.04,0.23,0.08,-0.39,-0.1,0.2,0.29,0.13,0.25,-0.25,-0.27,0.03,-0.08,0.2,-0.17,-0.12,-0.1,-0.18,0.23,0.03,0.08,-0.06,?,-0.01,0.73,-0.05,-0.48,-0.29,-0.44,-0.01,-0.2,0.04,-0.12,-0.46,0.62,0.51,-0.44,0.5,0.45,0.34,01/03/16@14/10@16/01@20/09/16/09/03@20/09/18/09/01@34/11/03/07@40/01@42/01@42/04/03@43/01/03/05
-0.32,-0.06,0.12,0.01,0.07,-0.41,-0.11,-0.1,0.29,0.38,0.36,-0.1,0.27,-0.11,0.24,-0.47,0.13,-0.49,0.13,-0.2,0.04,0.06,0.12,0.31,0.35,0.22,0.42,0.28,0.89,0.42,0.09,0.25,-0.26,0.21,-0.46,0.05,-0.24,0.01,-0.22,0.28,-0.51,-1.63,-0.57,0.06,-0.14,0.07,-0.24,-0.36,0.12,-0.33,0.23,-0.47,-0.36,-0.3,-0.33,1.05,0.47,?,-0.26,0.2,0.05,0.3,0.24,-0.32,-0.42,-0.44,-0.06,0.28,0.15,-0.02,0.14,0.28,0.12,-0.02,0.39,0.12,-0.21,12/04/01
