@RELATION 'eisen0.names'

@ATTRIBUTE alpha_0                                 numeric
@ATTRIBUTE alpha_7                                 numeric
@ATTRIBUTE alpha_14                                numeric
@ATTRIBUTE alpha_21                                numeric
@ATTRIBUTE alpha_28                                numeric
@ATTRIBUTE alpha_35                                numeric
@ATTRIBUTE alpha_42                                numeric
@ATTRIBUTE alpha_49                                numeric
@ATTRIBUTE alpha_56                                numeric
@ATTRIBUTE alpha_63                                numeric
@ATTRIBUTE alpha_70                                numeric
@ATTRIBUTE alpha_77                                numeric
@ATTRIBUTE alpha_84                                numeric
@ATTRIBUTE alpha_91                                numeric
@ATTRIBUTE alpha_98                                numeric
@ATTRIBUTE alpha_105                               numeric
@ATTRIBUTE alpha_112                               numeric
@ATTRIBUTE alpha_119                               numeric
@ATTRIBUTE elu_0                                   numeric
@ATTRIBUTE elu_30                                  numeric
@ATTRIBUTE elu_60                                  numeric
@ATTRIBUTE elu_90                                  numeric
@ATTRIBUTE elu_120                                 numeric
@ATTRIBUTE elu_150                                 numeric
@ATTRIBUTE elu_180                                 numeric
@ATTRIBUTE elu_210                                 numeric
@ATTRIBUTE elu_240                                 numeric
@ATTRIBUTE elu_270                                 numeric
@ATTRIBUTE elu_300                                 numeric
@ATTRIBUTE elu_330                                 numeric
@ATTRIBUTE elu_360                                 numeric
@ATTRIBUTE elu_390                                 numeric
@ATTRIBUTE cdc15_10                                numeric
@ATTRIBUTE cdc15_30                                numeric
@ATTRIBUTE cdc15_50                                numeric
@ATTRIBUTE cdc15_70                                numeric
@ATTRIBUTE cdc15_90                                numeric
@ATTRIBUTE cdc15_110                               numeric
@ATTRIBUTE cdc15_130                               numeric
@ATTRIBUTE cdc15_150                               numeric
@ATTRIBUTE cdc15_170                               numeric
@ATTRIBUTE cdc15_190                               numeric
@ATTRIBUTE cdc15_210                               numeric
@ATTRIBUTE cdc15_230                               numeric
@ATTRIBUTE cdc15_250                               numeric
@ATTRIBUTE cdc15_270                               numeric
@ATTRIBUTE cdc15_290                               numeric
@ATTRIBUTE spo_0                                   numeric
@ATTRIBUTE spo_2                                   numeric
@ATTRIBUTE spo_5                                   numeric
@ATTRIBUTE spo_7                                   numeric
@ATTRIBUTE spo_9                                   numeric
@ATTRIBUTE spo_11                                  numeric
@ATTRIBUTE spo5_2                                  numeric
@ATTRIBUTE spo5_7                                  numeric
@ATTRIBUTE spo5_11                                 numeric
@ATTRIBUTE spo__early                              numeric
@ATTRIBUTE spo__mid                                numeric
@ATTRIBUTE heat_0                                  numeric
@ATTRIBUTE heat_10                                 numeric
@ATTRIBUTE heat_20                                 numeric
@ATTRIBUTE heat_40                                 numeric
@ATTRIBUTE heat_80                                 numeric
@ATTRIBUTE heat_160                                numeric
@ATTRIBUTE dtt_15                                  numeric
@ATTRIBUTE dtt_30                                  numeric
@ATTRIBUTE dtt_60                                  numeric
@ATTRIBUTE dtt_120                                 numeric
@ATTRIBUTE cold_0                                  numeric
@ATTRIBUTE cold_20                                 numeric
@ATTRIBUTE cold_40                                 numeric
@ATTRIBUTE cold_160                                numeric
@ATTRIBUTE diau_540                                numeric
@ATTRIBUTE diau_660                                numeric
@ATTRIBUTE diau_780                                numeric
@ATTRIBUTE diau_900                                numeric
@ATTRIBUTE diau_1020                               numeric
@ATTRIBUTE diau_1140                               numeric
@ATTRIBUTE diau_1260                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/05,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/31,01/20/37,01/20/37/01,02,02/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/16,02/16/01,02/16/03,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/07,16/17/09,16/19,16/19/03,16/19/05,16/21,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/10,40/10/02,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
0.04,0.11,0.07,0.12,-0.04,0.18,0.25,0.39,0.52,0.11,0.43,0.1,0.18,-0.22,0.01,-0.22,-0.17,-0.09,-0.09,0.21,0.36,0.58,0.34,0.3,0.18,-0.09,-0.27,-0.17,0.04,-0.25,-0.36,-0.12,0.08,0.3,-0.03,0.08,0.03,0.29,0.4,0.25,0.08,0.14,0.14,-0.14,-0.09,-0.34,-0.23,-0.06,0.08,-0.25,0.36,0.39,0.54,0.59,0.48,0.52,-0.06,-0.86,-0.22,-0.47,?,-0.15,-0.09,0.07,?,-0.62,-0.43,-0.34,0.07,0.12,0.32,1.1,0.43,0.38,0.33,-0.67,-0.47,-0.14,-0.89,20/01/01/07/07@20/09/16@34/01/03/03
0.43,0.6,0.7,0.52,0.37,0.46,0.08,0.43,0.21,-0.07,0.33,0.31,0.32,0.26,0.1,0.4,0.2,0.34,-0.47,-0.09,0.62,0.93,0.63,0.38,0.36,-0.18,-0.22,0.03,0.19,-0.29,-0.3,-0.1,-0.36,-0.58,-0.67,0.1,-0.36,-0.34,-0.06,?,-0.29,-0.07,-0.17,-0.34,0.07,-0.03,0.01,0.01,0.62,-0.32,-0.49,0.1,0.44,0.66,-0.45,0.21,-1.47,-2.56,0.14,-0.36,-0.09,-0.18,-0.2,-0.09,0.11,-0.76,-1.56,-0.34,0.41,0.45,0.38,1.33,0.48,0.28,0.7,-0.18,-0.64,-1.25,-1.43,01/01/06/04@01/01/06/05@01/01/09/02@01/04
-0.32,0.73,0.26,-0.51,-0.97,0.62,0.7,0.78,0.31,-0.17,-0.04,-0.17,-0.45,-0.49,-0.06,0.57,-0.12,0.04,-0.86,1.61,0.2,0.64,-0.23,-0.42,-0.49,-0.2,0.03,0.45,0.07,0.16,0.44,0.3,-0.4,-0.64,-0.18,1.02,-0.43,-1.36,0.14,0.86,0.87,-0.27,-0.67,0.12,0.61,0.48,0.32,0.16,1.04,0.24,-1.18,-0.36,0.6,0.86,-1.51,-0.2,-0.42,-3.06,0.45,-0.6,0.43,1.25,0.77,1,-2.94,-3.18,-1.47,0.11,0.07,0.93,2.14,1.87,0.23,0.33,0.5,-0.1,-0.4,-0.51,-0.45,01/01/06/05/01
-0.23,-0.42,-0.27,-0.23,?,0.23,0.15,0.31,0.44,-0.12,0.28,-0.04,-0.1,-0.09,0.2,0.52,-0.3,0.11,-0.23,0.06,-0.14,?,-0.12,-0.03,0.14,0.03,-0.14,0.01,?,0.16,0.06,-0.09,-0.47,-0.47,-0.43,-0.6,-0.43,-0.47,-0.81,-1.79,-2.56,-0.89,-0.84,0.52,-0.4,-0.71,-0.92,0.01,-0.12,-0.14,-0.64,-0.56,-0.56,-0.29,-0.27,-0.69,0.62,0.72,0.31,-0.14,0.2,1,0.32,0.94,-0.4,-0.58,-0.15,-0.43,0.46,0.14,0.1,?,0.19,0.31,0.03,-0.54,-0.76,-0.42,-0.36,11/02/03/04/01@16/03/01@32/05/01/03@32/07
-0.06,-0.49,-0.6,?,-0.4,-0.71,-0.07,-0.38,0.08,-0.23,-0.1,-0.25,-0.04,1.44,0.01,-0.29,-0.27,-0.29,-1.32,-0.09,-0.04,0.12,0.18,-0.47,0.25,0.15,0.24,0.44,0.08,0.25,-0.1,0.37,-0.25,0.25,?,-0.81,-0.14,-0.38,-0.47,0.45,0.74,-0.94,-0.43,-0.09,-0.81,-0.92,-0.84,-0.4,-0.42,-0.22,-0.56,-0.6,-0.36,-0.38,-0.29,-0.58,-0.2,0.29,-0.14,-0.27,-0.06,0.96,0.03,-0.4,-0.79,-0.14,-0.49,-0.54,0.1,0.19,0.12,1.12,0.11,-0.23,-0.2,-0.56,-0.94,-0.36,-0.36,14/04@16/01@16/07@20/01/10@20/01/21@20/09/01@42/10/05
-0.14,-0.01,-0.36,0.06,-0.14,0.15,0.23,0.25,0.08,0.08,-0.36,-0.06,-0.09,-0.14,-0.18,0.06,0.03,0.15,0.37,0.36,-0.15,-0.15,0.23,0.11,0.43,0.23,0.3,0.16,-0.09,0.23,0.54,0.12,-0.23,-0.12,-0.07,0.67,-0.29,-0.79,-0.01,0.44,-0.09,-0.42,-0.71,0.24,-0.76,-0.54,-0.69,-0.32,-0.22,-0.12,-0.22,-0.45,-0.18,-0.32,-0.14,0.15,0.4,0.36,0.06,0.43,-0.01,0.66,0.52,0.19,-0.49,-0.45,-0.07,-0.45,?,-0.32,0.49,1.34,0.01,-0.15,-0.01,-0.49,-0.49,-0.3,-0.69,11/02/03/04@11/04/03@16/03/03@20/01/21
-0.14,-0.3,0.2,0.04,0.38,-0.27,0.26,-0.06,-0.01,-0.2,0.66,-0.12,-0.15,-0.12,0.08,-0.09,0.11,-0.25,0.67,-0.38,-0.1,0.12,0.3,-0.36,-0.12,0.03,-0.36,-0.34,-0.06,-0.34,-0.56,-0.27,-0.1,-0.06,0.03,-0.23,-0.2,-0.23,-0.23,-0.36,-0.07,-0.14,-0.25,0.31,0.04,-0.17,?,-0.42,-0.09,-0.14,-0.34,-0.67,-0.76,0.04,-0.34,-0.64,0.04,-0.06,-0.22,-0.58,-0.51,-0.3,-0.36,0.06,-0.07,-0.32,-0.14,-0.25,0.15,0.38,0.59,0.42,-0.06,0.26,0.53,-0.06,0.06,0.41,0.21,10/01/09/05@11/02/03/04@14/07/04@42/10/03
-0.03,-0.03,-0.14,-0.29,-0.01,0.2,0.14,0.07,0.07,?,-0.38,-0.27,-0.09,0.01,-0.14,-0.09,0.1,-0.1,0.18,-0.58,-0.2,-0.23,0.08,-0.09,-0.03,0.14,-0.27,-0.1,-0.12,-0.29,-0.38,-0.2,-0.94,-0.17,-0.18,0.06,-0.14,-0.12,-0.36,-0.27,-0.29,-0.14,-1.03,-0.38,-0.14,-0.18,0.06,-0.25,0.01,-0.14,-0.86,-0.86,-0.62,-0.07,-0.45,-0.3,0.07,-0.18,0.2,-0.17,-0.01,-0.56,-0.4,0.39,-0.09,0.28,-0.6,-0.29,0.28,0.51,0.65,0.66,0.11,0.07,0.39,-0.1,-0.22,0.08,0.07,10/03/02@11/02/03/01@11/02/03/04@18/02/09
-0.18,0.07,-0.38,-0.81,-0.04,-0.03,0.59,-0.07,-0.04,-0.07,-0.3,-0.36,-0.25,-0.49,-0.15,-0.04,-0.18,-0.25,-0.43,-0.84,-0.69,-0.27,-0.29,-0.27,-0.3,-0.03,-0.18,0.06,-0.4,-0.09,-0.36,-0.04,-0.45,-0.58,0.2,0.36,-0.22,-0.38,-0.22,0.41,0.26,-0.36,-0.47,0.04,-0.07,-0.18,-0.14,-0.32,0.29,-0.04,0.44,0.34,0.01,0.06,-0.23,0.04,-0.71,0.59,-0.12,0.15,0.18,0.34,0.04,0.3,-0.6,-0.58,-0.84,-0.42,-0.07,0.84,0.64,0.25,-0.34,-0.04,0.01,-0.23,-0.43,0.59,-0.06,01/01/06/05@01/02/03/01@01/07/01@01/20/19/01@01/20/19/05
0.3,0.5,0.34,0.03,-0.18,0.01,-0.23,0.45,-0.22,0.41,-0.45,0.23,0.03,-0.17,0.21,-0.17,-0.36,0.11,-0.64,-0.81,-0.71,0.54,-0.06,-0.34,-0.45,-0.49,-0.14,-1.43,-0.43,-0.38,-0.94,-0.32,-0.47,-0.17,-0.29,-0.89,-0.67,-0.3,-0.34,-0.38,0.18,0.01,-0.03,0.31,-0.3,-0.4,-0.09,0.08,?,-0.49,-1.12,-1.03,-0.97,0.28,-0.27,-0.27,-0.2,0.32,0.77,0.07,0.25,0.18,0.34,0.34,-0.54,-0.79,-0.32,-0.36,0.08,0.62,0.57,0.23,-0.2,1.41,0.01,-0.14,-0.54,0.14,0.23,01/07/01@11/02/03/04/01
-0.14,-0.2,0.32,-0.15,-0.14,-0.51,-0.09,-0.36,-0.15,-0.34,-0.18,-0.14,-0.29,-0.62,-0.12,-0.32,0.03,-0.18,0.91,0.07,-0.36,-0.56,-0.51,-0.62,-0.58,-0.29,-0.09,-0.27,-0.43,-0.27,-0.01,-0.25,-0.2,-0.12,-0.09,-0.06,0.28,0.08,0.37,0.45,-0.3,-0.03,0.08,-0.27,0.19,0.1,0.19,-0.42,-0.47,-0.92,-0.45,-0.3,-0.51,-0.14,-0.03,-0.03,-0.15,-0.38,0.04,0.93,0.14,0.41,0.66,0.52,-0.14,-0.43,-0.2,-0.06,0.38,0.37,0.46,1.74,-0.38,-0.32,0.1,-0.54,-0.4,0.08,0.07,01/05/25@10/01/05/01@11/02/03/01@18/02/09@42/01
-0.54,0.38,-0.07,-0.2,-0.81,-0.12,-0.62,-0.14,-0.03,0.23,0.32,-0.12,-0.1,-0.64,-0.6,-0.1,-0.3,-0.04,0.96,0.2,-0.32,-0.15,-0.17,-0.3,-0.12,0.24,0.23,0.16,0.25,0.37,0.58,0.52,-0.56,-0.15,-0.18,-0.18,-0.04,0.14,0.07,0.18,0.68,-0.18,0.08,0.81,0.19,0.1,0.19,0.01,-0.32,-0.42,-0.45,-0.79,-0.6,0.01,0.23,-0.17,0.34,0.8,0.54,1.07,1.04,0.55,0.2,0.18,-0.43,-0.4,0.1,0.07,0.1,0.41,0.56,1.14,-0.17,-0.22,-0.47,-0.36,-0.42,0.31,0.53,01/04@14/07/03@30/01/05/01@32/01@34/01/01/01
-0.32,-0.15,0.03,-0.29,-0.23,-0.09,0.07,0.04,0.1,0.1,0.31,0.41,-0.2,-0.09,0.08,0.61,-0.22,0.28,0.63,-0.18,-0.3,0.19,-0.04,-0.27,-0.04,0.16,-0.06,-0.06,-0.38,-0.01,-0.27,0.03,-0.04,0.52,0.08,0.15,0.52,-0.09,0.33,-0.14,0.03,?,0.2,0.58,0.4,-0.18,-0.94,0.26,-0.42,-0.58,-0.67,-0.3,-0.58,0.11,-0.64,0.08,0.48,0.29,0.61,1.01,0.56,1.04,0.57,0.51,-0.1,-0.67,-0.09,-0.64,0.31,0.73,0.7,0.86,-0.76,-0.29,-0.09,-0.74,-0.64,0.21,-0.1,01/06/10@11/02/03/04
-0.07,0.26,-0.06,0.31,-0.07,-0.74,-0.51,-0.09,-0.1,-0.09,0.01,-0.49,-0.49,-0.29,0.16,-0.18,-0.12,-0.12,0.82,-0.1,0.37,-0.06,-0.49,-0.42,-0.38,-0.15,0.21,-0.3,-0.54,0.16,-0.86,0.07,-0.18,-0.47,-0.4,-0.36,-0.51,-0.42,-0.34,0.45,-0.49,-0.54,-0.43,0.46,-1.12,0.21,-1.12,-0.07,-0.49,-0.6,-0.2,-0.09,-0.12,0.23,-0.09,0.81,0.03,-0.4,1.01,0.79,0.54,0.74,0.23,0.93,-0.67,-0.45,-0.18,-0.3,0.29,0.79,0.92,0.81,-0.18,0.31,-0.15,-0.1,-0.32,0.32,0.36,01/05/25@02/01@11/02/03/01@11/02/03/04
0.24,-0.2,-0.04,-0.1,-0.45,-0.18,-0.29,-0.15,-0.27,0.14,-0.4,0.01,0.03,-0.49,-0.64,0.04,-0.54,0.04,-0.22,-0.64,0.03,-0.12,-0.06,-0.25,-0.32,-0.42,0.24,-0.18,0.03,-0.4,-1.36,-0.07,-0.74,-0.2,-0.4,-0.71,0.99,-0.58,-0.54,-0.67,0.08,-0.42,-0.29,0.2,-0.76,-0.81,-0.86,-0.25,?,-0.38,-0.3,-0.23,-0.09,0.01,-0.07,-0.3,-0.06,-0.22,-0.06,-0.2,0.21,-0.06,-0.47,-0.2,-0.67,-0.51,-0.69,-0.67,0.24,0.77,0.33,0.31,0.03,-0.07,-0.1,-0.25,-0.3,-0.3,-0.4,10/01/03@32/01/09@42/10/03
-0.09,-0.32,0.14,-0.1,?,0.16,0.06,-0.09,0.14,-0.18,0.6,-0.06,0.07,-0.36,0.23,0.12,-0.04,-0.03,-0.07,-0.32,-0.43,-0.22,-0.25,-0.64,-0.3,-0.42,-0.58,-0.4,-0.43,-0.25,-0.3,-0.32,-0.94,?,-0.69,-0.89,-0.67,-0.43,-0.47,-0.04,-0.74,-1.12,-0.71,0.2,-0.49,-0.4,-0.71,-0.18,0.31,0.55,0.33,0.44,0.33,-0.49,-0.38,-0.18,0.07,0.98,0.07,0.21,0.01,0.15,0.04,0.07,-0.58,-0.06,-0.47,-0.97,0.32,0.85,0.71,0.49,-0.07,-0.03,0.01,-0.15,0.15,0.29,0.58,14/04@14/07@14/10@20/09/13
0.4,0.24,0.29,0.28,0.15,0.2,0.26,0.16,0.1,0.07,0.04,0.04,-0.03,-0.18,-0.09,-0.22,0.23,0.01,-0.45,0.11,-0.14,-0.69,-0.74,-0.6,-0.4,-0.18,0.04,-0.04,-0.29,0.03,0.14,-0.1,-0.18,-0.03,-0.12,-0.51,-0.62,-0.97,-0.34,-0.34,-0.4,-0.56,-0.4,0.23,-0.62,-0.47,-0.34,-0.23,-0.18,-0.71,-0.69,-0.62,-0.36,0.58,-0.58,0.04,-0.23,-0.49,-0.01,0.77,0.57,0.15,0.46,0.14,-0.45,-0.06,-0.22,-0.69,0.15,0.7,1.01,0.76,-0.71,-0.32,-0.07,-0.38,-0.47,0.64,0.9,20/01/07
-0.12,?,-0.23,-0.54,-0.17,-0.04,?,-0.12,-0.17,-0.23,-0.47,-0.07,-0.22,-0.49,-0.47,-0.45,-0.32,-0.27,0.59,-0.51,-0.38,-0.36,-0.36,-0.76,-0.62,-0.84,-0.69,-0.74,-0.51,-0.22,-0.74,-0.3,0.16,0.01,-0.43,-0.54,-0.43,-0.49,-0.79,-0.79,-0.62,-0.67,-0.27,0.11,-0.67,-0.86,-0.58,0.04,-0.4,-0.1,-0.79,-0.74,-0.45,-0.42,-0.43,-0.51,-0.29,0.16,0.16,-0.12,-0.17,-0.03,-0.18,0.18,-0.32,-0.3,-0.23,-0.34,-0.04,0.68,-0.18,0.23,-0.03,0.08,0.49,0.18,-0.2,0.51,0.23,10/01/09/05@11/02/03/04
-0.04,-0.17,0.16,-0.12,0.33,0.14,0.07,-0.38,-0.32,0.03,-0.14,-0.22,-0.12,-0.38,-0.29,-0.29,0.06,0.32,-0.14,-0.51,-0.38,-0.62,-0.42,-0.49,-0.56,-0.25,-0.25,-0.43,-0.62,-0.03,-0.1,-0.38,-0.15,0.03,0.06,-0.18,-0.22,-0.25,-0.14,0.23,-0.38,-0.27,-0.34,0.01,0.12,-0.22,0.04,-0.32,-0.38,-0.54,-0.79,-0.74,-0.71,0.03,-0.43,-0.4,-0.36,-0.62,-0.2,-0.18,0.54,0.14,-0.07,0.11,0.04,0.01,-0.15,-0.14,-0.09,0.81,0.21,-0.25,-0.43,0.08,0.44,-0.22,0.15,0.87,0.81,14/10@20/01/10@20/09/04@42/16
0.07,0.39,-0.09,-0.17,-0.36,-0.3,-0.23,-0.14,0.18,-0.29,-0.22,-0.34,-0.2,-0.6,0.04,-0.04,0.14,0.39,-0.09,-0.71,-0.51,-0.23,-0.56,0.4,-0.51,-0.71,-0.42,-0.17,-0.94,-0.76,-0.47,-0.81,-0.29,-0.43,-0.12,1.23,0.14,-0.25,-0.38,-0.29,-0.79,-1.29,0.64,0.31,-1,0.03,-0.58,-0.6,-0.18,-0.14,-0.47,-0.54,-0.84,-0.04,-0.62,-1,0.56,0.11,-0.15,0.01,-0.14,-0.07,-0.03,0.69,-0.84,-0.43,-0.79,-0.54,-0.06,0.66,0.9,0.42,-0.6,-0.58,0.26,-0.14,-0.32,1.23,0.76,10/01/05/01
1.46,0.24,-0.03,0.39,-0.3,-0.07,0.16,0.06,0.07,-0.42,-0.14,-0.04,-0.03,-0.45,-0.23,-0.3,-0.01,-0.18,0.19,-0.07,-0.3,0.26,-0.09,-0.17,-0.07,-0.25,-0.76,-0.38,-0.2,-0.43,-0.6,-0.18,-0.27,-0.1,-0.12,-0.47,-0.43,-0.09,-0.18,0.63,-0.25,-0.69,-0.58,-0.36,-0.27,-0.51,-0.18,-0.38,0.1,0.04,-0.17,-0.32,0.03,0.11,-0.64,-0.6,-0.06,0.19,0.1,0.39,0.37,0.12,-0.09,0.3,-0.54,-0.42,-0.36,-0.43,0.08,0.55,0.62,0.51,-0.23,-0.51,?,-0.51,-0.25,0.7,0.34,10/01/05/01@10/03/01/03@32/01/09
0.14,0.1,0.36,-0.1,0.18,-0.06,0.36,0.16,0.12,?,-0.43,-0.12,?,0.1,-0.17,0.01,0.15,-0.09,-0.06,-0.34,-0.38,-0.25,-0.07,-0.49,-0.45,-0.34,-0.45,-0.69,-0.62,-0.51,-0.71,-0.34,-0.29,-0.51,-0.34,-0.4,-0.64,-0.18,-0.49,0.03,-0.3,-0.51,-0.76,-0.32,-0.71,-0.56,-0.62,-0.34,-0.56,-0.45,-0.49,-0.15,-0.56,-0.56,-0.4,-0.18,-1.4,0.62,-0.17,-0.25,0.32,0.1,0.01,0.44,-0.84,-0.56,-0.36,-0.15,-0.07,0.66,0.68,0.37,-0.27,-0.07,0.08,-0.27,-0.23,0.39,-0.01,01/07/01@10/01/05/01
-0.04,0.15,0.15,0.16,0.03,0.16,0.08,0.08,0.04,-0.23,0.18,-0.27,?,-0.12,0.15,-0.1,?,-0.07,-0.07,-0.54,-0.49,-0.43,-0.29,-0.32,-0.06,-0.22,-0.1,-0.3,-0.15,-0.43,-0.6,-0.18,-0.4,-0.03,0.14,-0.2,-0.38,-0.23,-0.43,0.84,-0.06,-0.4,-0.49,0.16,-0.76,-0.79,-0.38,-0.06,-1.29,-0.74,-0.62,-0.27,-0.42,-0.69,0.56,?,-1.47,-0.36,-0.04,0.39,0.29,0.51,0.33,0.36,-0.56,-0.12,-0.71,-0.56,-0.14,0.6,0.37,0.26,-0.22,0.26,-0.07,-0.22,-0.32,0.42,0.1,01/05/02/04@01/05/02/07
